1,303,497,784,748,743,169,462,479,785,310,26,701
1,658,598,645,786,248,381,80,428,248,530,591,145
0,38,490,796,637,130,380,226,359,720,392,464,497
0,94,752,645,801,381,479,475,381,227,645,445,248
0,59,806,254,521,91,538,212,645,609,227,545,531
1,65,254,685,565,91,796,445,658,465,485,472,184
1,385,248,211,612,82,38,485,652,212,373,563,26
1,796,596,785,310,145,479,142,685,748,635,798,474
1,380,658,485,645,36,598,806,428,786,798,645,113
0,743,214,625,642,530,784,645,641,65,598,786,637
0,796,596,785,310,145,479,645,785,701,479,485,3
0,733,212,720,474,609,497,121,785,186,641,254,141
0,472,785,798,277,310,637,450,479,65,212,788,105
1,807,787,381,181,485,248,758,598,730,145,212,445
0,15,637,596,632,768,205,18,784,149,785,748,497
0,303,637,641,497,788,701,385,658,598,479,720,130
1,806,428,658,598,445,641,127,530,642,752,784,801
1,310,591,132,794,793,494,36,94,142,645,598,788
0,65,786,598,638,479,31,637,537,151,707,718,778
1,6,380,801,798,645,785,645,485,308,788,145,646
0,798,778,319,786,445,748,318,530,658,645,59,3
1,530,786,130,303,637,497,3,6,130,786,805,113
0,227,36,787,380,641,658,91,303,646,642,645,596
1,121,785,186,641,254,141,65,786,798,647,645,801
1,248,145,788,798,645,385,306,113,36,594,151,145
0,720,428,145,465,423,485,637,251,145,248,286,233
1,479,135,195,214,797,645,786,645,598,6,784,658
0,645,462,497,279,260,494,730,89,497,462,445,59
1,785,701,645,801,788,6,658,6,465,748,145,645
1,149,797,6,130,145,645,279,260,490,184,171,395
0,461,745,774,3,38,647,91,303,646,642,645,596
0,148,801,260,145,788,798,645,641,65,598,786,637
0,733,212,720,474,609,497,485,212,748,641,510,787
0,646,713,38,221,91,473,282,645,485,479,639,591
1,748,465,637,132,472,130,235,65,184,706,598,145
0,212,485,472,645,145,778,788,701,490,473,379,212
1,807,787,381,181,485,248,279,260,598,211,785,658
1,530,450,479,598,282,641,303,596,641,748,497,727
0,752,625,205,0,0,0,530,658,130,786,701,494
0,324,3,641,385,472,785,530,786,130,303,637,497
0,197,641,700,542,745,773,530,658,130,786,701,494
0,248,184,196,472,428,748,130,658,184,445,642,214
0,248,530,142,598,695,593,15,687,563,768,720,609
1,788,701,490,473,379,212,586,6,113,479,598,547
1,785,701,720,80,798,380,798,3,465,251,254,547
1,530,658,130,786,701,494,145,113,609,530,637,472
0,248,530,65,598,145,748,113,302,227,494,472,801
1,450,226,208,91,277,196,49,465,700,308,604,350
0,784,658,497,645,494,801,303,730,429,641,89,260
1,784,645,786,701,530,428,461,15,359,796,469,620
1,89,6,132,485,143,794,36,579,645,242,591,594
0,306,380,89,145,768,555,485,3,130,445,801,778
1,465,485,65,658,398,534,308,465,145,788,645,637
0,645,113,3,658,494,641,303,445,658,145,787,647
1,719,645,494,787,227,461,785,472,6,197,3,350
1,652,479,113,445,242,385,208,537,630,242,34,36
1,596,31,430,142,282,350,3,786,472,658,801,462
1,786,248,385,645,598,494,658,598,36,380,645,479
1,645,785,212,385,462,145,462,658,472,3,758,641
0,647,248,494,472,658,497,6,235,468,658,635,530
1,472,227,196,748,571,787,641,797,472,479,748,428
1,248,145,788,798,645,385,497,758,308,598,645,594
0,645,785,497,658,646,302,248,658,801,534,645,38
0,699,464,345,745,719,248,130,701,784,485,785,645
0,15,785,598,472,151,706,752,130,497,786,308,473
0,38,91,132,113,479,303,497,151,745,385,178,127
1,18,784,149,785,748,497,260,279,748,658,184,490
0,302,113,771,227,149,379,494,785,645,798,801,130
1,25,785,106,227,113,646,65,785,479,658,485,645
1,475,36,149,598,91,609,6,445,785,798,658,745
0,260,279,785,641,598,230,38,28,91,473,784,65
1,254,778,395,655,472,807,38,645,598,658,65,637
1,571,264,658,598,130,472,658,18,598,485,472,786
0,482,124,26,376,385,308,324,229,758,71,275,695
0,3,658,786,472,801,462,65,794,598,59,555,752
1,743,642,641,473,73,658,807,787,381,181,485,248
0,260,641,786,465,645,784,663,801,151,497,479,181
1,248,145,788,798,645,385,308,658,645,145,494,801
0,658,127,537,227,248,381,38,28,91,473,784,65
0,645,801,807,6,151,658,645,785,212,385,462,145
0,785,212,645,485,658,465,392,788,798,445,398,461
1,485,748,658,212,145,36,598,658,719,785,645,646
1,91,303,646,642,645,596,719,701,65,130,646,786
0,641,36,462,423,248,798,213,497,625,778,784,127
0,561,452,700,445,475,462,254,778,395,655,472,807
1,784,376,637,428,472,497,308,472,801,786,465,248
1,645,798,350,700,655,428,3,472,197,245,113,445
1,785,658,212,645,806,784,286,461,6,748,645,798
1,248,145,788,798,645,385,308,479,645,658,798,801
1,279,260,658,598,121,641,801,579,113,132,479,598
1,637,641,308,806,149,123,254,778,395,655,472,807
1,26,763,785,472,241,110,598,184,232,727,750,478
1,719,645,494,787,227,461,6,445,785,798,658,745
1,530,658,130,786,701,494,428,472,113,465,242,494
1,428,350,598,472,233,641,787,798,428,485,145,658
1,6,254,248,448,26,658,9,637,706,635,454,45
1,641,786,113,308,145,801,784,707,797,186,260,786
1,658,196,701,6,645,786,282,462,786,598,145,537
1,303,488,480,342,105,778,15,788,645,786,658,462
0,641,465,645,303,485,286,642,534,481,798,244,230
1,303,488,480,342,105,778,15,788,645,786,658,462
0,641,465,645,303,485,286,642,534,481,798,244,230
0,143,31,215,785,303,784,641,807,254,646,801,770
